PAID;FECHA_REGISTRO;UNIDAD_NOMBRE;PROYECTO_RNPC;UNIDAD_DEPARTAMENTO;DESTINO_DEPARTAMENTO;DESTINO_CIUDAD;ATENCION_TIPO_TRAMITE;ATENCION_DESTINO;ATENCION_TEMA;ATENCION_MOTIVO;ATENCION_ESTADO;PERSONA_RANGO_EDAD;PERSONA_CONDICION_DISCAPACIDAD;PERSONA_POBLACION_ESPECIAL;PERSONA_GENERO;PERSONA_PROFESION;PERSONA_ACEPTA_HABEAS_DATA;TIPO_EMPRESA;EMPRESA_TIPO_DOCUMENTO;EMPRESA_RAZON_SOCIAL;ESTADO_SERVICIO;CAUSAL;TIPO_PRODUCTO;NOMBRE_PRODUCTO;VALOR_PRODUCTO;FECHA_ADQUISICION;FECHA_ULTIMO_ENCUENTRO;FECHA_FIN_ULTIMO_ENCUENTRO;FECHA_FIN_REAL;ENCUENTRO_ACORDADO;FECHA_CONTRATO;DURACION
605736;9/12/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;amanecer medico;CERRADO;Incumplimiento de la garantía;Bien;BASTON TIPO MULETA CANDIENSE ;27000;3/12/2021 0:00;14/12/2021;14/12/2021;14/12/2021;NO;;5
436448;17/06/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Básica Primaria;SI;FORMAL;NIT;FERRETERIA CONSTRUYA;CERRADO;Servicios que suponen la entrega de un bien a un tercero;Bien;100 BULTOS DE CEMENTO MARCA ARGOS;INDETERMINADO;28/12/2018 0:00;25/06/2021;25/06/2021;25/06/2021;NO;;8
606341;10/12/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;No indica;SI;INFORMAL;;la ascensión ;CERRADO;Incumplimiento contractual;Servicio;servicios exequiales;908526;14/09/2015 0:00;15/12/2021;15/12/2021;15/12/2021;NO;;5
941823;17/02/2023;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Venta que utiliza métodos no tradicionales o a distancia;Derecho de retracto;Ciudadano Atendido;19-25 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;LA TIQUETERA S.A.S;CERRADO-DCIU;Derecho de Retracto;Servicio;2 BOLETAS PARA CONCIERTO ;954000;31/10/2022 0:00;17/02/2023;17/02/2023;17/02/2023;NO;;0
597634;25/11/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;DISTRIBUCIONES ELECTRICAS AC;CERRADO;Servicios que suponen la entrega de un bien a un tercero;Bien;ELEMENTOS DE FERRETERIA;35568422;27/12/2016 0:00;14/12/2021;14/12/2021;14/12/2021;NO;;19
639910;15/02/2022;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;IDEEN ESTILO;CERRADO;Incumplimiento contractual;Servicio;TAPICERIA DE JUEGO DE SALA EN FORMA DE L ;400000;5/11/2021 0:00;23/02/2022;23/02/2022;23/02/2022;NO;;8
784972;15/07/2022;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Padre cabeza de familia;Hombre;Bachiller              ;SI;FORMAL;NIT;ALKOSTO;CERRADO;Incumplimiento de la garantía;Bien;Moto AKT CR4 162 cc negra ;5690000;24/11/2021 0:00;28/07/2022;28/07/2022;28/07/2022;NO;;13
903698;22/11/2022;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;SI;INFORMAL;;JAIR RUANO;CERRADO-NA;Incumplimiento contractual;Servicio;COMPRA DE 5 BOLETAS DE CONCIERTO ;795000;18/11/2022 0:00;22/11/2022;28/11/2022;28/11/2022;NO;;6
730998;17/05/2022;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Profesional;SI;INFORMAL;;HECTOR DARIO CHAVEZ CHMORRO;CERRADO-DCIU;Incumplimiento de la garantía;Bien;ZAPATOS  TENIS FILA PS PEKRI NEGRO ;102006;11/03/2022 0:00;31/05/2022;31/05/2022;31/05/2022;NO;;14
848998;15/09/2022;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;19-25 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;MEGAMOTOS;CERRADO;Incumplimiento de la garantía;Bien;MOTO VICTORY SERIE VENON 250 MODELO 2023 ;11250000;12/08/2022 0:00;27/09/2022;27/09/2022;27/09/2022;NO;;12
443870;25/06/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;19-25 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;TECHNOLOGY M.A.;CERRADO;Incumplimiento de la garantía;Bien;CELULAR MARCA MOVIL SEL MODEL X54;300000;3/02/2021 0:00;30/06/2021;1/07/2021;1/07/2021;NO;;6
374712;19/03/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;FERRETERIA SURTITODO;CERRADO;Incumplimiento contractual;Bien;VARILLAS DE HIERRO ;1150000;18/02/2021 0:00;25/03/2021;25/03/2021;25/03/2021;NO;;6
349830;5/02/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;PROTEGEMOS S.A.;CERRADO;Incumplimiento contractual;Bien;GAFAS ADAPTADAS;398000;9/10/2020 0:00;19/02/2021;1/03/2021;1/03/2021;NO;;24
350514;8/02/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Calidad, Idoneidad y seguridad;Producto defectuoso;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;ALKOSTO;CERRADO;Incumplimiento de la garantía;Bien;"TELEVISOR SAMSUMG 70"" SERIE 7 4K UHD CRYSTAL ";2184790;21/11/2020 0:00;22/02/2021;1/03/2021;1/03/2021;NO;;21
374876;19/03/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Adulto mayor;Mujer;Básica Primaria;SI;FORMAL;NIT;ALMACEN GERARDO ORTIZ F. SUCESORES LIMITADA;CERRADO;Incumplimiento de la garantía;Bien;JARRA CAFETERA EXPRESSO MAKER 12 TASAS ;59000;25/02/2021 0:00;25/03/2021;29/03/2021;29/03/2021;NO;;10
499309;24/08/2021;CR PASTO;Casas del Consumidor Regional;NARIÑO;NARIÑO;PASTO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;carlos auku;CERRADO;Incumplimiento contractual;Servicio;COSTRUCCION DE UNA PLACA EN CONCRETO  E INSTALACION DE CERAMICA EN PISO. ;8000000;19/02/2021 0:00;6/09/2021;6/09/2021;6/09/2021;NO;;13
282085;25/09/2020;CB TUNJUELITO;Casas del Consumidor Bogota;BOGOTA;BOGOTA;TUNJUELITO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Adulto mayor;Mujer;Bachiller              ;SI;INFORMAL;;CONSULTA;AGENDADO;Incumplimiento de la garantía;Bien;camara computador;INDETERMINADO;30/06/2020 0:00;25/09/2020;;25/09/2020;NO;;0
332592;24/11/2020;CB TUNJUELITO;Casas del Consumidor Bogota;BOGOTA;BOGOTA;TUNJUELITO;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Ninguno                                  ;SI;INFORMAL;;CONSULTA;AGENDADO;Incumplimiento de la garantía;Bien;nevera de segunda;280000;27/08/2020 0:00;24/11/2020;;24/11/2020;NO;;0
298857;6/10/2020;Unidad INACTIVOS;Tecnologías de la Información;BOGOTA;BOGOTA;BOGOTA, D.C.;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;NO;FORMAL;NIT;ALPINA;AGENDADO;Incumplimiento de la garantía;Bien;Vaso;3000;2/10/2020 0:00;15/10/2020;;15/10/2020;NO;;9
372399;17/03/2021;CR SAN ANDRES;Casas del Consumidor Regional;SAN ANDRES;SAN ANDRES;SAN ANDRES;ARREGLO DIRECTO;SIC;Arreglo Directo;Arreglo Directo;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;No indica;SI;INFORMAL;;Maderas san andres;CERRADO;Incumplimiento contractual;Bien;Madera;3259500;1/12/2020 0:00;25/03/2021;25/03/2021;25/03/2021;NO;;8
982124;23/03/2023;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;EUROCOCINAS INTEGRALES CARTAGENA S.A.S.;CERRADO-ICOM;Incumplimiento de la garantía;Bien;muebles de cocina y closet;14110000;3/02/2023 0:00;17/04/2023;17/04/2023;17/04/2023;NO;;25
437673;18/06/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;URBNIZADORA MARIN VALENCIA S.A MARVAL;CERRADO;Incumplimiento de la garantía;Bien;inmueble;111795000;28/03/2019 0:00;24/06/2021;24/06/2021;24/06/2021;NO;;6
629661;7/02/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;DISTRIBUIDORA NISSAN S.A.;CERRADO;Incumplimiento de la garantía;Bien;vehiculo nissan march modelo 2000;45700000;28/02/2020 0:00;16/02/2022;22/02/2022;22/02/2022;NO;;15
415131;18/05/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;COMPUWORKING;CERRADO;Incumplimiento de la garantía;Bien;pantalla de computador ;1000000;10/09/2020 0:00;31/05/2021;1/06/2021;1/06/2021;NO;;14
400860;26/04/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;COMPUWORKING;CERRADO;Incumplimiento de la garantía;Bien;pantalla de computador;480000;17/03/2021 0:00;29/04/2021;1/06/2021;1/06/2021;NO;;36
826145;25/08/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;GRUPO UMA S.A.S.;CERRADO;Incumplimiento de la garantía;Bien;moto;5390001;30/07/2021 0:00;30/09/2022;30/09/2022;30/09/2022;NO;;36
560737;13/10/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;ALMACENES ABC;CERRADO;Incumplimiento de la garantía;Bien;NEVERA MODELO LT44S6P;INDETERMINADO;20/10/2020 0:00;19/10/2021;20/10/2021;20/10/2021;NO;;7
859495;27/09/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;PROMOTOS DEL CARIBE S.A.S.;CERRADO;Incumplimiento de la garantía;Bien;moto;4781513;19/05/2022 0:00;30/09/2022;30/09/2022;30/09/2022;NO;;3
1023229;5/05/2023;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;No indica;SI;FORMAL;NIT;ELECTROAS;CERRADO-IAP;Incumplimiento de la garantía;Bien;televisor ;2949900;22/10/2022 0:00;5/05/2023;15/05/2023;15/05/2023;NO;;10
626547;2/02/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;ENSAMBLADORA SIGMA MOTORS S.A.S. SIGLA E.S.M. S.A.S.;CERRADO;Incumplimiento de la garantía;Bien;moto sigma sg 100Tm 2021;3999900;16/01/2021 0:00;1/03/2022;1/03/2022;1/03/2022;NO;;27
706799;25/04/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;No indica;SI;FORMAL;NIT;PROMOTORA PANORAMICA S.A.S;CERRADO;Incumplimiento de la garantía;Bien;INMUEBLE ;94000000;17/03/2018 0:00;12/05/2022;12/05/2022;12/05/2022;NO;;17
415051;18/05/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;AUDIOCOLOR;CERRADO;Incumplimiento de la garantía;Bien;play;1500000;17/12/2019 0:00;1/06/2021;1/06/2021;1/06/2021;NO;;14
794339;26/07/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;No indica;SI;INFORMAL;;muebles sampues ;CERRADO;Incumplimiento de la garantía;Bien;colchon;620000;2/04/2021 0:00;31/07/2022;11/08/2022;11/08/2022;NO;;16
481792;6/08/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC COMUNICACIONES;Servicios postales: Servicio de correo, Giros Nacionales e internacionales y Mensajería expresa;Fallas en la prestación del servicio postal;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;No indica;SI;FORMAL;NIT;COMERCIALIZADORA DE SERVICIOS DE BOLIVAR S.A.S;CERRADO;Incumplimiento contractual;Servicio;giro de pago de derecho de grado ;563700;29/01/2021 0:00;23/08/2021;4/11/2021;4/11/2021;NO;;90
750938;7/06/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Hombre;No indica;SI;FORMAL;NIT;GRUPO NORMANDIA S.A.;CERRADO;Incumplimiento de la garantía;Bien;casa de habitación ;105000000;5/12/2020 0:00;30/06/2022;25/07/2022;25/07/2022;NO;;48
978973;21/03/2023;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Operaciones mediante Sistemas de Financiación;Información relacionada con las condiciones del crédito;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;TOYOTA FINANCIAL SERVICES COLOMBIA S.A.S.;CERRADO-ICOM;Operaciones bajo sistemas de financiación;Servicio;financiación de vehículo ;INDETERMINADO;18/04/2022 0:00;19/04/2023;3/05/2023;3/05/2023;NO;;43
1054004;8/06/2023;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;ALMACEN BC S.A.S.;CERRADO-IAP;Incumplimiento de la garantía;Bien;NEVECON;15082900;26/04/2023 0:00;29/06/2023;30/06/2023;30/06/2023;NO;;22
1030878;15/05/2023;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;No indica;SI;FORMAL;NIT;PROJECT CONSTRUCTIONS S.A.S.;CERRADO-NA;Incumplimiento de la garantía;Bien;APARTAMENTO;150000000;25/03/2021 0:00;16/06/2023;;16/06/2023;NO;;32
804496;4/08/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Hombre;No indica;SI;FORMAL;NIT;MASMOTOCICLETAS + S.A.S;CERRADO;Incumplimiento de la garantía;Bien;MOTO;10799000;10/06/2022 0:00;25/08/2022;28/09/2022;28/09/2022;NO;;55
644009;18/02/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;DISMECAR;CERRADO;Incumplimiento de la garantía;Bien;moto victory mrx 150;6999000;11/10/2021 0:00;17/03/2022;17/03/2022;17/03/2022;NO;;27
871619;11/10/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Técnico;SI;INFORMAL;;vehicosta ;CERRADO-IAP;Incumplimiento de la garantía;Bien;CARRO ;55000000;5/02/2021 0:00;31/10/2022;2/11/2022;2/11/2022;NO;;22
453234;8/07/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;No indica;SI;FORMAL;NIT;MULTINTEGRAL SAS;CERRADO;Incumplimiento de la garantía;Bien;ESTUFA;970000;31/08/2019 0:00;27/07/2021;28/07/2021;28/07/2021;NO;;20
595174;24/11/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;Bachiller              ;SI;FORMAL;NIT;GRUPO SUPERMOTOS SAS;CERRADO;Incumplimiento contractual;Bien;moto honda navi;800000;13/04/2021 0:00;2/12/2021;2/12/2021;2/12/2021;NO;;8
437390;18/06/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Hombre;No indica;SI;FORMAL;NIT;URBNIZADORA MARIN VALENCIA S.A MARVAL;CERRADO;Incumplimiento contractual;Bien;inmueble;111795000;28/03/2019 0:00;24/06/2021;28/07/2021;28/07/2021;NO;;40
708840;26/04/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;19-25 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;INDUCOL;CERRADO;Incumplimiento de la garantía;Servicio;servcio tecnico;1160000;19/11/2021 0:00;9/05/2022;5/05/2022;5/05/2022;NO;;9
486317;10/08/2021;CB SUBA;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SUBA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Ninguno                                  ;SI;FORMAL;NIT;DENTISALUD;CERRADO;Incumplimiento contractual;Servicio;ortodoncia, la rehabilitación del “puente” de dos piezas, la corona de la pieza 45;4676000;27/09/2017 0:00;27/08/2021;27/08/2021;27/08/2021;NO;;17
370358;15/03/2021;CB SUBA;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SUBA;ARREGLO DIRECTO;SIC;Arreglo Directo;Arreglo Directo;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;OPTICA UNIVER;CERRADO;Incumplimiento contractual;Bien;Gafas con formula ;114500;9/02/2021 0:00;25/03/2021;8/04/2021;8/04/2021;NO;;24
455662;12/07/2021;CB KENNEDY;Casas del Consumidor Bogota;BOGOTA;BOGOTA;KENNEDY;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Adulto mayor;Hombre;Bachiller              ;SI;FORMAL;NIT;COLCHONES PARAISO S.A.;CERRADO;Incumplimiento de la garantía;Bien;COLCHON CAMA DOBLE ;1110000;8/02/2019 0:00;23/07/2021;23/07/2021;23/07/2021;NO;;11
430073;8/06/2021;CB SUBA;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SUBA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Profesional;SI;FORMAL;NIT;MUEBLES RUBIO;CERRADO;Incumplimiento de la garantía;Bien;Cajón de Madera ;50000;21/05/2021 0:00;21/06/2021;23/06/2021;23/06/2021;NO;;15
699636;18/04/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;AUTOCENTRO SUPER CAR S.A.S.;CERRADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;revision tecnico mecanica ;INDETERMINADO;18/03/2022 0:00;28/04/2022;28/04/2022;28/04/2022;NO;;10
496814;20/08/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;No indica;SI;FORMAL;NIT;COMPUWORKING;CERRADO;Incumplimiento de la garantía;Bien;computador hp;1815000;26/02/2021 0:00;27/08/2021;4/11/2021;4/11/2021;NO;;76
581361;3/11/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Protección de Datos Personales;Suplantación;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Hombre;No indica;SI;FORMAL;NIT;BRILLA;CERRADO;Incumplimiento contractual;Bien;suplantacion credito;3016565;31/07/2021 0:00;2/12/2021;2/12/2021;2/12/2021;NO;;29
527521;16/09/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;FORMAL;NIT;INGENIARTE CONTRUCTORA;CERRADO;Incumplimiento contractual;Servicio;prestación de servicio de remodelación;23960000;14/01/2021 0:00;2/11/2021;4/11/2021;4/11/2021;NO;;49
784349;14/07/2022;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Mujer;No indica;SI;FORMAL;NIT;DISEÃO Y CONSTRUPISCINAS S.A.S.;CERRADO;Incumplimiento de la garantía;Bien;piscina;36000000;28/02/2022 0:00;21/07/2022;9/08/2022;9/08/2022;NO;;26
389630;13/04/2021;CR CARTAGENA;Casas del Consumidor Regional;BOLIVAR;BOLIVAR;CARTAGENA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Hombre;Profesional;SI;FORMAL;NIT;INVERSIONES TRUCCA S.A.S;CERRADO;Incumplimiento contractual;Bien;3 apartamentos;829821920;21/02/2020 0:00;24/05/2021;24/05/2021;24/05/2021;NO;;41
